pitch,seed,match_status,innings1_runs,innings1_wickets,innings1_declared,innings1_overs,innings2_runs,innings2_wickets,innings2_declared,innings2_overs,innings3_runs,innings3_wickets,innings3_declared,innings3_overs,innings4_runs,innings4_wickets,innings4_overs
Hard,90,completed,200,10,No,76.3,498,5,Yes,145,390,10,No,123.3,94,1,31.2
Hard,91,completed,301,9,Yes,90,526,10,No,153.4,192,10,No,70.5,0,0,0
Hard,92,completed,514,9,Yes,162,207,10,No,67.5,281,3,Yes,101,195,10,67.2
Hard,93,completed,307,9,Yes,90,485,9,Yes,154,284,10,No,88.3,107,5,41.3
Hard,94,completed,362,10,No,97.3,331,10,No,109.1,171,9,Yes,62,204,5,82.3
Hard,95,drawn,494,9,Yes,148,487,10,No,148.3,273,9,Yes,108,91,8,31
Hard,96,completed,360,9,Yes,117,254,10,No,90.4,313,9,Yes,112,294,10,100.6
Hard,97,completed,319,10,No,107.5,196,10,No,58.5,218,9,Yes,69,195,10,63.2
Hard,98,completed,208,10,No,62.6,402,9,Yes,113,253,10,No,70.3,62,2,15.1
Hard,99,drawn,457,9,Yes,136,266,10,No,82.1,420,7,Yes,140,0,0,0
Hard,100,completed,346,9,Yes,104,408,9,Yes,117,300,10,No,92.6,192,10,71.4
Flat,1,drawn,414,9,Yes,127,504,10,No,151.6,375,9,Yes,128,81,3,29
Flat,2,drawn,612,9,Yes,187,392,10,No,134.5,239,9,Yes,85,106,2,29
Flat,3,drawn,617,10,No,176.6,374,10,No,115.3,209,9,Yes,81,1,0,2
Flat,4,completed,500,9,Yes,154,178,10,No,59.3,243,9,Yes,85,263,10,99.1
Flat,5,completed,203,10,No,58.4,443,10,No,129.2,186,10,No,55.2,0,0,0
Flat,6,completed,580,9,Yes,160,304,10,No,94.5,319,3,Yes,112,149,10,46.6
Flat,7,drawn,570,9,Yes,168,327,10,No,126.3,217,7,Yes,89,0,0,0
Flat,8,completed,180,10,No,54.1,428,10,No,137.5,356,10,No,99.3,111,1,35.2
Flat,9,drawn,342,9,Yes,97,481,9,Yes,155,284,3,Yes,102,141,3,51
Flat,10,drawn,510,9,Yes,148,393,10,No,120.6,313,5,Yes,109,170,5,58
Flat,11,completed,393,10,No,116.6,534,7,Yes,145,133,10,No,56.2,0,0,0
Flat,12,completed,148,10,No,50.3,302,9,Yes,96,259,9,Yes,75,106,3,30.5
